Date,Value
4/04/1994,1980.599976
5/04/1994,1980.599976
6/04/1994,2014.400024
7/04/1994,2016.5
8/04/1994,2011.199951
11/04/1994,2005.699951
12/04/1994,2026.800049
13/04/1994,2048.100098
14/04/1994,2027.900024
15/04/1994,2013.900024
18/04/1994,2030.800049
19/04/1994,1997
20/04/1994,1982.099976
21/04/1994,1966.800049
22/04/1994,1979.300049
25/04/1994,1979.300049
26/04/1994,2006.800049
27/04/1994,1997.800049
28/04/1994,2007.900024
29/04/1994,2004.199951
2/05/1994,1986.300049
3/05/1994,1983.599976
4/05/1994,1958.199951
5/05/1994,1928.699951
6/05/1994,1944.800049
9/05/1994,1948.300049
10/05/1994,1946.599976
11/05/1994,1974.099976
12/05/1994,1981.800049
13/05/1994,2010.800049
16/05/1994,2051.800049
17/05/1994,2036.199951
18/05/1994,2047.400024
19/05/1994,2032
20/05/1994,2043.800049
23/05/1994,2060.699951
24/05/1994,2072.100098
25/05/1994,2045.400024
26/05/1994,2035.400024
27/05/1994,2041.900024
30/05/1994,2032.5
31/05/1994,2021.199951
1/06/1994,2036.5
2/06/1994,2015.699951
3/06/1994,2017.199951
6/06/1994,2011.199951
7/06/1994,2008.800049
8/06/1994,2018.400024
9/06/1994,2015.599976
10/06/1994,2009.900024
13/06/1994,2009.900024
14/06/1994,2017.800049
15/06/1994,2015.400024
16/06/1994,1996.5
17/06/1994,1991.900024
20/06/1994,1964.400024
21/06/1994,1934.900024
22/06/1994,1953.300049
23/06/1994,1966.599976
24/06/1994,1962
27/06/1994,1901.300049
28/06/1994,1916.800049
29/06/1994,1917.300049
30/06/1994,1931.099976
1/07/1994,1907.800049
4/07/1994,1929.900024
5/07/1994,1945.300049
6/07/1994,1931.699951
7/07/1994,1902.300049
8/07/1994,1905.5
11/07/1994,1902.199951
12/07/1994,1915
13/07/1994,1921.099976
14/07/1994,1951.800049
15/07/1994,2002
18/07/1994,2015.599976
19/07/1994,2020.900024
20/07/1994,2021.599976
21/07/1994,1991.199951
22/07/1994,1994.099976
25/07/1994,1990.699951
26/07/1994,1983.199951
27/07/1994,1982.199951
28/07/1994,1982.300049
29/07/1994,2003.5
1/08/1994,2025.400024
2/08/1994,2030.300049
3/08/1994,2016.199951
4/08/1994,2028.800049
5/08/1994,2037
8/08/1994,2025.400024
9/08/1994,2031.900024
10/08/1994,2021.699951
11/08/1994,2006.900024
12/08/1994,1996.099976
15/08/1994,2000.199951
16/08/1994,1983.5
17/08/1994,2003.5
18/08/1994,2011.099976
19/08/1994,2004.599976
22/08/1994,2007.400024
23/08/1994,1995
24/08/1994,2005.5
25/08/1994,2022.5
26/08/1994,2021.599976
29/08/1994,2057.5
30/08/1994,2059.800049
31/08/1994,2063.899902
1/09/1994,2047.599976
2/09/1994,2049.199951
5/09/1994,2036.5
6/09/1994,2044.699951
7/09/1994,2043.300049
8/09/1994,2027.199951
9/09/1994,2007.800049
12/09/1994,1970.300049
13/09/1994,1983.5
14/09/1994,1990.800049
15/09/1994,1992.699951
16/09/1994,2001.900024
19/09/1994,1991.400024
20/09/1994,1986.400024
21/09/1994,1966.699951
22/09/1994,1967.800049
23/09/1994,1966.099976
26/09/1994,1968.199951
27/09/1994,1952.300049
28/09/1994,1953.099976
29/09/1994,1970.599976
30/09/1994,1967.699951
3/10/1994,1970.699951
4/10/1994,1937.199951
5/10/1994,1919.900024
6/10/1994,1916.5
7/10/1994,1906.5
10/10/1994,1928.800049
11/10/1994,1936.199951
12/10/1994,1935.699951
13/10/1994,1931.199951
14/10/1994,1938.400024
17/10/1994,1947.699951
18/10/1994,1937.400024
19/10/1994,1948.699951
20/10/1994,1951
21/10/1994,1969.699951
24/10/1994,1972.099976
25/10/1994,1956.599976
26/10/1994,1952
27/10/1994,1967.199951
28/10/1994,1957.400024
31/10/1994,1980.900024
1/11/1994,1965.199951
2/11/1994,1949.599976
3/11/1994,1947.699951
4/11/1994,1938.300049
7/11/1994,1916.900024
8/11/1994,1905.099976
9/11/1994,1921.099976
10/11/1994,1909.800049
11/11/1994,1890.5
14/11/1994,1864.800049
15/11/1994,1879.300049
16/11/1994,1877.900024
17/11/1994,1860.400024
18/11/1994,1862.599976
21/11/1994,1849.800049
22/11/1994,1818.800049
23/11/1994,1800.699951
24/11/1994,1829.099976
25/11/1994,1854.199951
28/11/1994,1854.800049
29/11/1994,1834.199951
30/11/1994,1833.800049
1/12/1994,1845.300049
2/12/1994,1824.400024
5/12/1994,1844.199951
6/12/1994,1839.400024
7/12/1994,1817.300049
8/12/1994,1823.900024
9/12/1994,1800.300049
12/12/1994,1790.400024
13/12/1994,1801.400024
14/12/1994,1811
15/12/1994,1841.300049
16/12/1994,1844.800049
19/12/1994,1847.5
20/12/1994,1846.199951
21/12/1994,1852.900024
22/12/1994,1854.800049
23/12/1994,1856.699951
26/12/1994,1856.699951
27/12/1994,1884
28/12/1994,1884
29/12/1994,1879.599976
30/12/1994,1857.400024
2/01/1995,1857.400024
3/01/1995,1849.099976
4/01/1995,1830
5/01/1995,1814.800049
6/01/1995,1813.300049
9/01/1995,1805.400024
10/01/1995,1804.099976
11/01/1995,1808.300049
12/01/1995,1810.900024
13/01/1995,1806.5
16/01/1995,1827.800049
17/01/1995,1829.5
18/01/1995,1838.199951
19/01/1995,1844.099976
20/01/1995,1827
23/01/1995,1810.699951
24/01/1995,1813.400024
25/01/1995,1802.199951
26/01/1995,1802.199951
27/01/1995,1814.800049
30/01/1995,1810.699951
31/01/1995,1784.699951
1/02/1995,1789.699951
2/02/1995,1814.400024
3/02/1995,1805.400024
6/02/1995,1821.400024
7/02/1995,1803.699951
8/02/1995,1782.300049
9/02/1995,1792.599976
10/02/1995,1805.099976
13/02/1995,1805.599976
14/02/1995,1793.599976
15/02/1995,1802.400024
16/02/1995,1821.300049
17/02/1995,1817.099976
20/02/1995,1813.599976
21/02/1995,1817.400024
22/02/1995,1841.199951
23/02/1995,1855.400024
24/02/1995,1872.199951
27/02/1995,1853.800049
28/02/1995,1881.099976
1/03/1995,1878.099976
2/03/1995,1876.900024
3/03/1995,1862.5
6/03/1995,1851.099976
7/03/1995,1850.400024
8/03/1995,1840.800049
9/03/1995,1835.199951
10/03/1995,1827.099976
13/03/1995,1843.300049
14/03/1995,1843.599976
15/03/1995,1863.400024
16/03/1995,1868.199951
17/03/1995,1880
20/03/1995,1864
21/03/1995,1874.5
22/03/1995,1852.099976
23/03/1995,1851.300049
24/03/1995,1857.5
27/03/1995,1869.699951
28/03/1995,1861.300049
29/03/1995,1855.400024
30/03/1995,1847.199951
31/03/1995,1867.099976
3/04/1995,1859.099976
4/04/1995,1896.300049
5/04/1995,1940.900024
6/04/1995,1939.099976
7/04/1995,1943.599976
10/04/1995,1943.400024
11/04/1995,1953.699951
12/04/1995,1971.599976
13/04/1995,1980.599976
14/04/1995,1980.599976
17/04/1995,2000.199951
18/04/1995,2000.199951
19/04/1995,1999.5
20/04/1995,1984
21/04/1995,1957.900024
24/04/1995,1955.099976
25/04/1995,1955.099976
26/04/1995,1965.199951
27/04/1995,1989
28/04/1995,2006.5
1/05/1995,1997.400024
2/05/1995,1983.300049
3/05/1995,1995.800049
4/05/1995,2024.5
5/05/1995,2024.400024
8/05/1995,2025.300049
9/05/1995,2037.599976
10/05/1995,2016.199951
11/05/1995,1997.099976
12/05/1995,1999
15/05/1995,2009.5
16/05/1995,2004.699951
17/05/1995,2002.900024
18/05/1995,1981.099976
19/05/1995,1957.099976
22/05/1995,1971.099976
23/05/1995,1997.300049
24/05/1995,2001.099976
25/05/1995,2008.900024
26/05/1995,1985.699951
29/05/1995,1976.099976
30/05/1995,1983.300049
31/05/1995,1981.400024
1/06/1995,1983.199951
2/06/1995,1968.900024
5/06/1995,1976.400024
6/06/1995,1986.199951
7/06/1995,1982.099976
8/06/1995,1964.199951
9/06/1995,1951
12/06/1995,1951
13/06/1995,1945.699951
14/06/1995,1933.699951
15/06/1995,1928.300049
16/06/1995,1940.199951
19/06/1995,1938.699951
20/06/1995,1934
21/06/1995,1939.599976
22/06/1995,1954.300049
23/06/1995,1992.400024
26/06/1995,1999.300049
27/06/1995,1991.900024
28/06/1995,2000.5
29/06/1995,1999.199951
30/06/1995,1981
3/07/1995,1970.099976
4/07/1995,1980
5/07/1995,1990.5
6/07/1995,1989.099976
7/07/1995,2014.400024
10/07/1995,2048.699951
11/07/1995,2059.899902
12/07/1995,2063.100098
13/07/1995,2089
14/07/1995,2081.100098
17/07/1995,2070.699951
18/07/1995,2078
19/07/1995,2058
20/07/1995,2045.300049
21/07/1995,2092.5
24/07/1995,2090.800049
25/07/1995,2087.5
26/07/1995,2104
27/07/1995,2088
28/07/1995,2087.800049
31/07/1995,2083.300049
1/08/1995,2087.600098
2/08/1995,2107
3/08/1995,2108.199951
4/08/1995,2119.899902
7/08/1995,2118.699951
8/08/1995,2112.899902
9/08/1995,2116.5
10/08/1995,2105.600098
11/08/1995,2094.699951
14/08/1995,2083.600098
15/08/1995,2098.899902
16/08/1995,2089.800049
17/08/1995,2075.199951
18/08/1995,2064.199951
21/08/1995,2071.199951
22/08/1995,2067.5
23/08/1995,2063.600098
24/08/1995,2074.199951
25/08/1995,2078.699951
28/08/1995,2090
29/08/1995,2087.100098
30/08/1995,2094.899902
31/08/1995,2094.300049
1/09/1995,2094.399902
4/09/1995,2084
5/09/1995,2083.899902
6/09/1995,2107.800049
7/09/1995,2101.899902
8/09/1995,2098.5
11/09/1995,2103
12/09/1995,2104.399902
13/09/1995,2121.699951
14/09/1995,2109.699951
15/09/1995,2124.100098
18/09/1995,2123.600098
19/09/1995,2121.399902
20/09/1995,2120
21/09/1995,2105.800049
22/09/1995,2096.300049
25/09/1995,2088.100098
26/09/1995,2085.600098
27/09/1995,2083.699951
28/09/1995,2075.100098
29/09/1995,2091.300049
2/10/1995,2094.300049
3/10/1995,2088.399902
4/10/1995,2059.899902
5/10/1995,2059.300049
6/10/1995,2054.100098
9/10/1995,2047.199951
10/10/1995,2018.199951
11/10/1995,2024.199951
12/10/1995,2033.699951
13/10/1995,2055.5
16/10/1995,2067
17/10/1995,2064.899902
18/10/1995,2067.100098
19/10/1995,2068.399902
20/10/1995,2062.399902
23/10/1995,2044.900024
24/10/1995,2037.699951
25/10/1995,2048.399902
26/10/1995,2043.300049
27/10/1995,2024.400024
30/10/1995,2024
31/10/1995,2029.699951
1/11/1995,2010.599976
2/11/1995,2013.400024
3/11/1995,2046.5
6/11/1995,2062.199951
7/11/1995,2065.399902
8/11/1995,2065.399902
9/11/1995,2085.5
10/11/1995,2078.699951
13/11/1995,2074.199951
14/11/1995,2077.5
15/11/1995,2062.899902
16/11/1995,2059.5
17/11/1995,2072
20/11/1995,2078.300049
21/11/1995,2092.899902
22/11/1995,2101.300049
23/11/1995,2105.100098
24/11/1995,2106
27/11/1995,2112.800049
28/11/1995,2110.100098
29/11/1995,2115
30/11/1995,2113.199951
1/12/1995,2119.100098
4/12/1995,2160.800049
5/12/1995,2160.899902
6/12/1995,2155.399902
7/12/1995,2155.5
8/12/1995,2142.699951
11/12/1995,2161.5
12/12/1995,2171.199951
13/12/1995,2182.100098
14/12/1995,2179.699951
15/12/1995,2176.5
18/12/1995,2162.600098
19/12/1995,2137.300049
20/12/1995,2154.5
21/12/1995,2157.199951
22/12/1995,2160.199951
25/12/1995,2160.199951
26/12/1995,2154.5
27/12/1995,2154.5
28/12/1995,2153.199951
29/12/1995,2154.899902
1/01/1996,2154.899902
2/01/1996,2178.600098
3/01/1996,2210.100098
4/01/1996,2208.600098
5/01/1996,2209.800049
8/01/1996,2221.600098
9/01/1996,2209.300049
10/01/1996,2184.399902
11/01/1996,2194.100098
12/01/1996,2183.5
15/01/1996,2177.399902
16/01/1996,2189
17/01/1996,2193.800049
18/01/1996,2193.100098
19/01/1996,2189.199951
22/01/1996,2202.100098
23/01/1996,2185.800049
24/01/1996,2174.300049
25/01/1996,2193.199951
26/01/1996,2193.199951
29/01/1996,2217.800049
30/01/1996,2205.399902
31/01/1996,2227.800049
1/02/1996,2224.399902
2/02/1996,2231.399902
